id,title,publication_link,date,RCIH_authors,authors,all_authors
284,"“ All the fun stuff, the teachers say, ‘that’s dangerous! ’” Hearing from children on safety and risk in active play in schools:  a systematic review",https://pureportal.coventry.ac.uk/en/publications/all-the-fun-stuff-the-teachers-say-thats-dangerous-hearing-from-c,25 Jun 2022,"[{'name': 'Jerebine, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alethea-gabriel-jerebine'}, {'name': 'Eyre, E. L. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre'}, {'name': 'Duncan, M. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Fitton-Davies, K.', 'link': None}, {'name': 'Lander, N.', 'link': None}, {'name': 'Barnett, L. M.', 'link': None}]","Jerebine, A., Eyre, E. L. J., Duncan, M. J., Fitton-Davies, K., Lander, N., Barnett, L. M."
285,“Children are precious cargo; we don’t let them take any risks!”: Hearing from adults on safety and risk in children’s active play in schools: a systematic review,https://pureportal.coventry.ac.uk/en/publications/children-are-precious-cargo-we-dont-let-them-take-any-risks-heari,Dec 2022,"[{'name': 'Jerebine, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alethea-gabriel-jerebine'}, {'name': 'Eyre, E. L. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre'}, {'name': 'Duncan, M. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Fitton-Davies, K.', 'link': None}, {'name': 'Lander, N.', 'link': None}, {'name': 'Barnett, L. M.', 'link': None}]","Jerebine, A., Eyre, E. L. J., Duncan, M. J., Fitton-Davies, K., Lander, N., Barnett, L. M."
286,基于社区移动医疗的心律失常筛查方案真实世界研究,https://pureportal.coventry.ac.uk/en/publications/%E5%9F%BA%E4%BA%8E%E7%A4%BE%E5%8C%BA%E7%A7%BB%E5%8A%A8%E5%8C%BB%E7%96%97%E7%9A%84%E5%BF%83%E5%BE%8B%E5%A4%B1%E5%B8%B8%E7%AD%9B%E6%9F%A5%E6%96%B9%E6%A1%88%E7%9C%9F%E5%AE%9E%E4%B8%96%E7%95%8C%E7%A0%94%E7%A9%B6,27 Sept 2022,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Yu, X.', 'link': None}, {'name': 'Zhao, X.', 'link': None}, {'name': 'Zhao, X.', 'link': None}, {'name': 'Jiang, Q.', 'link': None}, {'name': 'Zhang, H.', 'link': None}]","Liu, H., Yu, X., Zhao, X., Zhao, X., Jiang, Q., Zhang, H."
287,24-hour movement behaviors and fitness in preschoolers: A compositional and isotemporal reallocation analysis,https://pureportal.coventry.ac.uk/en/publications/24-hour-movement-behaviors-and-fitness-in-preschoolers-a-composit,Jun 2021,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Lemos, L.', 'link': None}, {'name': 'Brand, C.', 'link': None}, {'name': 'Pessoa, M. L.', 'link': None}, {'name': 'Gaya, A.', 'link': None}, {'name': 'Mota, J.', 'link': None}, {'name': 'Martins, C.', 'link': None}]","Clark, C., Duncan, M., Lemos, L., Brand, C., Pessoa, M. L., Gaya, A., Mota, J., Martins, C."
288,24-hour movement behaviour and executive function in preschoolers: a compositional and isotemporal reallocation analysis,https://pureportal.coventry.ac.uk/en/publications/24-hour-movement-behaviour-and-executive-function-in-preschoolers,2021,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Bezerra, T. A.', 'link': None}, {'name': 'Neco de Souza Filho, A.', 'link': None}, {'name': 'de Souza Fortes, L.', 'link': None}, {'name': 'Mota, J.', 'link': None}, {'name': 'Martins, C.', 'link': None}]","Clark, C., Duncan, M., Bezerra, T. A., Neco de Souza Filho, A., de Souza Fortes, L., Mota, J., Martins, C."
289,A button that tells your boss you’re unhappy: why mental health wearables could be bad news at work,https://pureportal.coventry.ac.uk/en/publications/a-button-that-tells-your-boss-youre-unhappy-why-mental-health-wea,8 Feb 2021,"[{'name': 'Whelan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maxine-whelan'}, {'name': 'Brookes Smith, C. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/celine-brookes-smith'}, {'name': 'Bisal, N. L.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal'}]",[],"Whelan, M., Brookes Smith, C. J., Bisal, N. L."
290,"A case-control study of Dietary Approaches to Stop Hypertension (DASH) diets, colorectal cancer and adenomas among Iranian population",https://pureportal.coventry.ac.uk/en/publications/a-case-control-study-of-dietary-approaches-to-stop-hypertension-d,25 Sept 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Jafari Nasab, S.', 'link': None}, {'name': 'Ghanavati, M.', 'link': None}, {'name': 'Rafiee, P.', 'link': None}, {'name': 'Bahrami, A.', 'link': None}, {'name': 'Majidi, N.', 'link': None}, {'name': 'Sadeghi, A.', 'link': None}, {'name': 'Houshyari, M.', 'link': None}, {'name': 'Hejazi, E.', 'link': None}]","Clark, C. C. T., Jafari Nasab, S., Ghanavati, M., Rafiee, P., Bahrami, A., Majidi, N., Sadeghi, A., Houshyari, M., Hejazi, E."
291,Accessible virtual arts recreation for wellbeing promotion in long-term care residents,https://pureportal.coventry.ac.uk/en/publications/accessible-virtual-arts-recreation-for-wellbeing-promotion-in-lon,May 2021,"[{'name': 'Szczepura, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ala-szczepura'}]","[{'name': 'Murphy, K.', 'link': None}, {'name': 'Swaminathan, S.', 'link': None}, {'name': 'Howard, E.', 'link': None}, {'name': 'Altschuler, A.', 'link': None}, {'name': 'Rogan, J.', 'link': None}, {'name': 'Beauchet, O.', 'link': None}, {'name': 'Dupuis, K.', 'link': None}, {'name': 'Galea, L.', 'link': None}, {'name': 'Hogan, D.', 'link': None}, {'name': 'Lingum, N.', 'link': None}, {'name': 'Rowe, G.', 'link': None}, {'name': 'Tsotsos, L.', 'link': None}, {'name': 'Wittich, W.', 'link': None}, {'name': 'Xie, F.', 'link': None}, {'name': 'Hasher, L.', 'link': None}]","Szczepura, A., Murphy, K., Swaminathan, S., Howard, E., Altschuler, A., Rogan, J., Beauchet, O., Dupuis, K., Galea, L., Hogan, D., Lingum, N., Rowe, G., Tsotsos, L., Wittich, W., Xie, F., Hasher, L."
292,Acute Effects of Different Plyometric and Strength Exercises on Balance Performance in Youth Weightlifters,https://pureportal.coventry.ac.uk/en/publications/acute-effects-of-different-plyometric-and-strength-exercises-on-b,14 Sept 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Werfelli, H.', 'link': None}, {'name': 'Hammami, R.', 'link': None}, {'name': 'Selmi, M. A.', 'link': None}, {'name': 'Selmi, W.', 'link': None}, {'name': 'Gabrilo, G.', 'link': None}, {'name': 'Sekulic, D.', 'link': None}, {'name': 'Granacher, U.', 'link': None}, {'name': 'Rebai, H.', 'link': None}]","Clark, C. C. T., Duncan, M., Werfelli, H., Hammami, R., Selmi, M. A., Selmi, W., Gabrilo, G., Sekulic, D., Granacher, U., Rebai, H."
293,A digital lifestyle behaviour change intervention for the prevention of type 2 diabetes: A qualitative study exploring intuitive engagement with real-time glucose and physical activity feedback,https://pureportal.coventry.ac.uk/en/publications/a-digital-lifestyle-behaviour-change-intervention-for-the-prevent,12 Jan 2021,"[{'name': 'Whelan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/maxine-whelan'}]","[{'name': 'Denton, F.', 'link': None}, {'name': 'Bourne, C.', 'link': None}, {'name': 'Kingsnorth, A.', 'link': None}, {'name': 'Sherar, L.', 'link': None}, {'name': 'Orme, M.', 'link': None}, {'name': 'Esliger, D.', 'link': None}]","Whelan, M., Denton, F., Bourne, C., Kingsnorth, A., Sherar, L., Orme, M., Esliger, D."
294,A Digital Self-management Program (Help to Overcome Problems Effectively) for People Living With Cancer: Feasibility Randomized Controlled Trial,https://pureportal.coventry.ac.uk/en/publications/a-digital-self-management-program-help-to-overcome-problems-effec,5 Nov 2021,"[{'name': 'Wright, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/hayley-wright'}, {'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Turner, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/andy-turner'}]","[{'name': 'Martin, F.', 'link': None}, {'name': 'Clyne, W.', 'link': None}, {'name': 'Matouskova, G.', 'link': None}, {'name': 'McGillion, M.', 'link': None}]","Wright, H., Clark, C., Turner, A., Martin, F., Clyne, W., Matouskova, G., McGillion, M."
295,Adult social care in England: revive the role of gerontological nurse specialist,https://pureportal.coventry.ac.uk/en/publications/adult-social-care-in-england-revive-the-role-of-gerontological-nu,22 Oct 2021,"[{'name': 'Szczepura, A. K.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ala-szczepura'}, {'name': 'Kneafsey, R.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey'}]","[{'name': 'Wild, D.', 'link': None}]","Szczepura, A. K., Kneafsey, R., Wild, D."
296,Adult social care in England: revive the role of gerontological nurse specialist,https://pureportal.coventry.ac.uk/en/publications/adult-social-care-in-england-revive-the-role-of-gerontological-nu-2,22 Oct 2021,"[{'name': 'Szczepura, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ala-szczepura'}, {'name': 'Kneafsey, R.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey'}]","[{'name': 'Wild, D.', 'link': None}]","Szczepura, A., Kneafsey, R., Wild, D."
297,"Adverse Effects and Safety of Etirinotecan Pegol, a Novel Topoisomerase Inhibitor, In Cancer Treatment: A Systematic Review",https://pureportal.coventry.ac.uk/en/publications/adverse-effects-and-safety-of-etirinotecan-pegol-a-novel-topoisom,Aug 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Samare-Najaf, M.', 'link': None}, {'name': 'Samareh, A.', 'link': None}, {'name': 'Jamali, N.', 'link': None}, {'name': 'Abbasi, A.', 'link': None}, {'name': 'Khorchani, M. J.', 'link': None}, {'name': 'Zal, F.', 'link': None}]","Clark, C. C. T., Samare-Najaf, M., Samareh, A., Jamali, N., Abbasi, A., Khorchani, M. J., Zal, F."
298,A meta-analysis of metal biosorption by suspended bacteria from three phyla,https://pureportal.coventry.ac.uk/en/publications/a-meta-analysis-of-metal-biosorption-by-suspended-bacteria-from-t,1 Apr 2021,"[{'name': 'Coupe, S. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/steve-coupe'}, {'name': 'Newman, A. P.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/alan-newman'}]","[{'name': 'Fathollahi, A.', 'link': None}, {'name': 'Khasteganan, N.', 'link': None}]","Coupe, S. J., Newman, A. P., Fathollahi, A., Khasteganan, N."
299,A negative association of dietary advanced glycation end products with obesity and body composition in Iranian adults,https://pureportal.coventry.ac.uk/en/publications/a-negative-association-of-dietary-advanced-glycation-end-products,28 Feb 2021,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Ghorbaninejad, P.', 'link': None}, {'name': 'Djafarian, K.', 'link': None}, {'name': 'Babaee, N.', 'link': None}, {'name': 'Davarzani, S.', 'link': None}, {'name': 'Ebaditabar, M.', 'link': None}, {'name': 'Shab-Bidar, S.', 'link': None}]","Clark, C., Ghorbaninejad, P., Djafarian, K., Babaee, N., Davarzani, S., Ebaditabar, M., Shab-Bidar, S."
300,Anemia prevalence in women of reproductive age in low- and middle-income countries between 2000 and 2018,https://pureportal.coventry.ac.uk/en/publications/anemia-prevalence-in-women-of-reproductive-age-in-low-and-middle-,12 Oct 2021,[],"[{'name': 'Kinyoki, D.', 'link': None}, {'name': 'Osgood-Zimmerman, A. E.', 'link': None}, {'name': 'Bhattacharjee, N. V.', 'link': None}, {'name': 'Local Burden of Disease Anaemia Collaborators', 'link': None}, {'name': 'Kassebaum, N. J.', 'link': None}, {'name': 'Hay, S. I.', 'link': None}]","Kinyoki, D., Osgood-Zimmerman, A. E., Bhattacharjee, N. V., Local Burden of Disease Anaemia Collaborators, Kassebaum, N. J., Hay, S. I."
301,A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood,https://pureportal.coventry.ac.uk/en/publications/a-network-perspective-on-the-relationship-between-moderate-to-vig,25 May 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Bezerra, T. A.', 'link': None}, {'name': 'Bandeira, P. F. R.', 'link': None}, {'name': 'de Souza Filho, A. N.', 'link': None}, {'name': 'Mota, J. A. P. S.', 'link': None}, {'name': 'de Lucena Martins, C. M.', 'link': None}]","Clark, C. C. T., Duncan, M. J., Bezerra, T. A., Bandeira, P. F. R., de Souza Filho, A. N., Mota, J. A. P. S., de Lucena Martins, C. M."
302,An interpretative phenomenological study exploring the lived experiences of participation in a mindfulness and compassion course,https://pureportal.coventry.ac.uk/en/publications/an-interpretative-phenomenological-study-exploring-the-lived-expe,30 Jun 2021,"[{'name': 'Percy, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/carol-percy'}, {'name': 'Turner, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/andy-turner'}]","[{'name': 'Allen, L.', 'link': None}, {'name': 'Sparkes, L.', 'link': None}, {'name': 'Sage, L.', 'link': None}]","Percy, C., Turner, A., Allen, L., Sparkes, L., Sage, L."
303,A ray of HOPE: digital self-management for people living with cancer during COVID-19,https://pureportal.coventry.ac.uk/en/publications/a-ray-of-hope-digital-self-management-for-people-living-with-canc,26 Jan 2021,"[{'name': 'Wright, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/hayley-wright'}]",[],"Wright, H."
304,Association between ACTN3 R577X genotype and risk of non-contact injury in trained athletes: A systematic review,https://pureportal.coventry.ac.uk/en/publications/association-between-actn3-r577x-genotype-and-risk-of-non-contact-,17 Jul 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Zouhal, H.', 'link': None}, {'name': 'Coso, J. D.', 'link': None}, {'name': 'Jayavel, A.', 'link': None}, {'name': 'Tourny, C.', 'link': None}, {'name': 'Ravé, G.', 'link': None}, {'name': 'Jebabli, N.', 'link': None}, {'name': 'Barthélémy, B.', 'link': None}, {'name': 'Hackney, A. C.', 'link': None}, {'name': 'Abderrahman, A. B.', 'link': None}]","Clark, C. C. T., Zouhal, H., Coso, J. D., Jayavel, A., Tourny, C., Ravé, G., Jebabli, N., Barthélémy, B., Hackney, A. C., Abderrahman, A. B."
305,Association between carbohydrate quality index and general and central obesity in adults: A population-based study in Iran,https://pureportal.coventry.ac.uk/en/publications/association-between-carbohydrate-quality-index-and-general-and-ce,Dec 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Janbozorgi, N.', 'link': None}, {'name': 'Djafarian, K.', 'link': None}, {'name': 'Mohammadpour, S.', 'link': None}, {'name': 'Abyane, M. Z.', 'link': None}, {'name': 'Zameni, M.', 'link': None}, {'name': 'Badeli, M.', 'link': None}, {'name': 'Akbarzade, Z.', 'link': None}, {'name': 'Shab-Bidar, S.', 'link': None}]","Clark, C. C. T., Janbozorgi, N., Djafarian, K., Mohammadpour, S., Abyane, M. Z., Zameni, M., Badeli, M., Akbarzade, Z., Shab-Bidar, S."
306,Association Between Mental Imagery and Change of Direction Performance in Young Elite Soccer Players of Different Maturity Status,https://pureportal.coventry.ac.uk/en/publications/association-between-mental-imagery-and-change-of-direction-perfor,10 Jun 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Sariati, D.', 'link': None}, {'name': 'Zouhal, H.', 'link': None}, {'name': 'Hammami, R.', 'link': None}, {'name': 'Nebigh, A.', 'link': None}, {'name': 'Chtara, M.', 'link': None}, {'name': 'Hackney, A. C.', 'link': None}, {'name': 'Souissi, N.', 'link': None}, {'name': 'Granacher, U.', 'link': None}, {'name': 'Ben Ounis, O.', 'link': None}]","Clark, C. C. T., Sariati, D., Zouhal, H., Hammami, R., Nebigh, A., Chtara, M., Hackney, A. C., Souissi, N., Granacher, U., Ben Ounis, O."
307,"Association between physical education classes and physical activity among 187,386 adolescents aged 13-17 years from 50 low- and middle-income countries",https://pureportal.coventry.ac.uk/en/publications/association-between-physical-education-classes-and-physical-activ,1 Sept 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'Zhan, X.', 'link': None}, {'name': 'Bao, R.', 'link': None}, {'name': 'Hong, J-T.', 'link': None}, {'name': 'Chen, S-T.', 'link': None}]","Clark, C. C. T., Duncan, M., Zhan, X., Bao, R., Hong, J-T., Chen, S-T."
308,Association of Vitamin D Status with SARS-CoV-2 Infection or COVID-19 Severity: A Systematic Review and Meta-analysis,https://pureportal.coventry.ac.uk/en/publications/association-of-vitamin-d-status-with-sars-cov-2-infection-or-covi,Sept 2021,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Kazemi, A.', 'link': None}, {'name': 'Mohammadi, V.', 'link': None}, {'name': 'Aghababaee, S. K.', 'link': None}, {'name': 'Golzarand, M.', 'link': None}, {'name': 'Babajafari, S.', 'link': None}]","Clark, C., Kazemi, A., Mohammadi, V., Aghababaee, S. K., Golzarand, M., Babajafari, S."
309,Associations between movement behaviours and obesity markers among preschoolers compliant and non-compliant with sleep duration: A latent profile analysis,https://pureportal.coventry.ac.uk/en/publications/associations-between-movement-behaviours-and-obesity-markers-amon,8 Sept 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Duncan, M. J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan'}]","[{'name': 'de Souza, A. A.', 'link': None}, {'name': 'Mota, J. A. P. S.', 'link': None}, {'name': 'da Silva, G. M. G.', 'link': None}, {'name': 'Tassitano, R. M.', 'link': None}, {'name': 'Martins, C. M. D. L.', 'link': None}]","Clark, C. C. T., Duncan, M. J., de Souza, A. A., Mota, J. A. P. S., da Silva, G. M. G., Tassitano, R. M., Martins, C. M. D. L."
310,Associations Between Variations in Accumulated Workload and Physiological Variables in Young Male Soccer Players Over the Course of a Season,https://pureportal.coventry.ac.uk/en/publications/associations-between-variations-in-accumulated-workload-and-physi,18 Mar 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Nobari, H.', 'link': None}, {'name': 'Alves, A. R.', 'link': None}, {'name': 'Clemente, F. M.', 'link': None}, {'name': 'Pérez-Gómez, J.', 'link': None}, {'name': 'Granacher, U.', 'link': None}, {'name': 'Zouhal, H.', 'link': None}]","Clark, C. C. T., Nobari, H., Alves, A. R., Clemente, F. M., Pérez-Gómez, J., Granacher, U., Zouhal, H."
311,Associations of toothbrushing behaviour with risks of vascular and nonvascular diseases in Chinese adults,https://pureportal.coventry.ac.uk/en/publications/associations-of-toothbrushing-behaviour-with-risks-of-vascular-an,Dec 2021,[],"[{'name': 'China Kadoorie Biobank (CKB) collaborative group', 'link': None}]",China Kadoorie Biobank (CKB) collaborative group
312,A Systematic Review and Meta-analysis of the Medical Error Rate in Iran: 2005-2019,https://pureportal.coventry.ac.uk/en/publications/a-systematic-review-and-meta-analysis-of-the-medical-error-rate-i,Jul 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Khammarnia, M.', 'link': None}, {'name': 'Ansari-Moghaddam, A. R.', 'link': None}, {'name': 'Setoodehzadeh, F.', 'link': None}, {'name': 'Rezaei, K.', 'link': None}, {'name': 'Peyvand, M.', 'link': None}]","Clark, C. C. T., Khammarnia, M., Ansari-Moghaddam, A. R., Setoodehzadeh, F., Rezaei, K., Peyvand, M."
313,Authors' Reply to 'Comment on: Bempedoic Acid and Ezetimibe for the Treatment of Hypercholesterolemia: A Systematic Review and Meta-Analysis of Randomized Phase II/III Trials',https://pureportal.coventry.ac.uk/en/publications/authors-reply-to-comment-on-bempedoic-acid-and-ezetimibe-for-the-,May 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Bhagavathula, A. S.', 'link': None}, {'name': 'Al Matrooshi, N. O.', 'link': None}, {'name': 'Rahmani, J.', 'link': None}]","Clark, C. C. T., Bhagavathula, A. S., Al Matrooshi, N. O., Rahmani, J."
314,Automatic recognition of uterine contractions with electrohysterogram signals based on the zero-crossing rate,https://pureportal.coventry.ac.uk/en/publications/automatic-recognition-of-uterine-contractions-with-electrohystero,21 Jan 2021,"[{'name': 'Xu, Y.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/yuhang-xu'}, {'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Song, X.', 'link': None}, {'name': 'Qiao, X.', 'link': None}, {'name': 'Hao, D.', 'link': None}, {'name': 'Yang, L.', 'link': None}, {'name': 'Zhou, X.', 'link': None}]","Xu, Y., Zheng, D., Song, X., Qiao, X., Hao, D., Yang, L., Zhou, X."
315,Bariatric surgery reduces branched-chain amino acids’ levels: A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/publications/bariatric-surgery-reduces-branched-chain-amino-acids-levels-a-sys,Mar 2021,"[{'name': 'Clark, C.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Barati-Boldaji, R.', 'link': None}, {'name': 'Babajafari, S.', 'link': None}, {'name': 'Kazari, A.', 'link': None}, {'name': 'Esmaeilinezhad, Z.', 'link': None}, {'name': 'Mazidi, M.', 'link': None}, {'name': 'Ofori-Asenso, R.', 'link': None}, {'name': 'Haghighat, N.', 'link': None}, {'name': 'Shafiee, M.', 'link': None}, {'name': 'Mohammad Mazloomi, S.', 'link': None}]","Clark, C., Barati-Boldaji, R., Babajafari, S., Kazari, A., Esmaeilinezhad, Z., Mazidi, M., Ofori-Asenso, R., Haghighat, N., Shafiee, M., Mohammad Mazloomi, S."
316,Behavioural strategies to self‐manage low‐potassium diets in chronic kidney disease,https://pureportal.coventry.ac.uk/en/publications/behavioural-strategies-to-selfmanage-lowpotassium-diets-in-chroni,Sept 2021,"[{'name': 'Lycett, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/deborah-lycett'}]","[{'name': 'Morris, A.', 'link': None}]","Lycett, D., Morris, A."
317,Behaviour Change Communication: Family and Community Approaches,https://pureportal.coventry.ac.uk/en/publications/behaviour-change-communication-family-and-community-approaches,25 May 2021,[],"[{'name': 'Nur Rochimah, T. H.', 'link': None}, {'name': 'Nur S, H.', 'link': None}, {'name': 'Rosyidah, R.', 'link': None}]","Nur Rochimah, T. H., Nur S, H., Rosyidah, R."
318,Bempedoic Acid and Ezetimibe for the Treatment of Hypercholesterolemia: A Systematic Review and Meta-Analysis of Randomized Phase II/III trials,https://pureportal.coventry.ac.uk/en/publications/bempedoic-acid-and-ezetimibe-for-the-treatment-of-hypercholestero,Jan 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Bhagavathula, A. S.', 'link': None}, {'name': 'Al Matrooshi, N. O.', 'link': None}, {'name': 'Rahmani, J.', 'link': None}]","Clark, C. C. T., Bhagavathula, A. S., Al Matrooshi, N. O., Rahmani, J."
319,Beyond the Glass Ceiling—Do Women in Senior Positions Face a Precarious Glass Cliff?,https://pureportal.coventry.ac.uk/en/publications/beyond-the-glass-ceilingdo-women-in-senior-positions-face-a-preca,Jun 2021,"[{'name': 'Szczepura, A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ala-szczepura'}]","[{'name': 'Krishnan, N.', 'link': None}]","Szczepura, A., Krishnan, N."
320,Body adaptation to Dance: A Gerontological Perspective,https://pureportal.coventry.ac.uk/en/publications/body-adaptation-to-dance-a-gerontological-perspective,23 May 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Gronek, P.', 'link': None}, {'name': 'Boraczyński, M.', 'link': None}, {'name': 'Haas, A. N.', 'link': None}, {'name': 'Adamczyk, J.', 'link': None}, {'name': 'Pawlaczyk, M.', 'link': None}, {'name': 'Czarny, W.', 'link': None}, {'name': 'Czerniak, U.', 'link': None}, {'name': 'Demuth, A.', 'link': None}, {'name': 'Celka, R.', 'link': None}, {'name': 'Wycichowska, P.', 'link': None}, {'name': 'Gronek, J.', 'link': None}, {'name': 'Król-Zielińska, M.', 'link': None}]","Clark, C. C. T., Gronek, P., Boraczyński, M., Haas, A. N., Adamczyk, J., Pawlaczyk, M., Czarny, W., Czerniak, U., Demuth, A., Celka, R., Wycichowska, P., Gronek, J., Król-Zielińska, M."
321,Brain function during central fatigue induced by intermittent high-intensity cycling,https://pureportal.coventry.ac.uk/en/publications/brain-function-during-central-fatigue-induced-by-intermittent-hig,Sept 2021,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Ghorbani, M.', 'link': None}]","Clark, C. C. T., Ghorbani, M."
322,Breastfeeding and risk of childhood asthma: a systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/publications/breastfeeding-and-risk-of-childhood-asthma-a-systematic-review-an,Dec 2021,"[{'name': 'Kurmi, O. P.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/om-kurmi'}]","[{'name': 'Xue, M.', 'link': None}, {'name': 'Dehaas, E.', 'link': None}, {'name': 'Chaudhary, N.', 'link': None}, {'name': ""O'Byrne, P."", 'link': None}, {'name': 'Satia, I.', 'link': None}]","Kurmi, O. P., Xue, M., Dehaas, E., Chaudhary, N., O'Byrne, P., Satia, I."
